,MTOR,LRRK2,ROS1,CIT,TRPM6,MYLK,MRCKA,GCN2(KinDom2S808G),PIK3C2B,ALK,MYO3A,MAP3K4,MAST1,DMPK2,MAP3K1,PIK3C2G,DAPK1,MST1R,MET,INSR,ASK1,FLT4,TNIK,ROCK1,ERBB3,FLT1,YSK4,STK36,GAK,INSRR,QSK,NEK1,SLK,TAOK2,HIPK3,TYK2(JH1domain-cata,ABL1(E255K),BIKE,TIE2,JAK2(JH1domain-cata,LATS1,PIK3CG,PDGFRA,FAK,PIK3CB,PIK3CA,ULK1,BMPR2,TNK2,CDKL5,EPHB6,EPHA5,PYK2,PRP4,MERTK,FLT3,PKN2,EPHA3,NEK9,ERN1,KIT,PLK4,LOK,LZK,MLK2,PKN1,RIPK5,CASK,SIK2,DDR1,PRKD1,MAP4K3,TYRO3,MUSK,TTK,DDR2,TRKC,TNNI3K,HPK1,FER,FGFR1,MLCK,ERK5,PIK4CB,RPS6KA5(KinDom.1-N-,ZAK,MARK1,TRKA,RIPK4,BRSK1,TLK2,BRAF,DCAMKL2,ANKK1,SNRK,DYRK1A,PRKG2,IKK-beta,RSK4(KinDom.1-N-ter,PRKCE,TBK1,ERK3,PAK7,HUNK,IRAK1,NEK5,SRPK2,PLK2,PRKCD,BMX,PRKG1,RIPK1,PIP5K1C,CAMK2B,TNK1,ARK5,MELK,DCAMKL3,ADCK3,LIMK1,WEE1,NEK11,CLK3,SYK,ICK,EIF2AK1,MAP3K3,PKNB(Mtuberculosis),ZAP70,HIPK4,TAK1,PLK1,DYRK2,BLK,IRAK3,PRKCI,CDKL3,CAMKK2,GRK4,RIOK1,TGFBR2,AMPK-alpha1,PAK3,PDPK1,RIOK2,STK39,ERK8,CHEK2,CDC2L1,RIPK2,STK35,BMPR1A,NLK,PFCDPK1(Pfalciparum,PCTK2,RIOK3,STK33,ACVR2A,PRKR,VRK2,CTK,NEK3,CDK11,PKMYT1,SGK3,MST2,YANK3,BTK,GSK3A,AKT2,TRKB,CAMK1G,CHEK1,CAMK4,MAPKAPK5,ULK3,MKNK1,JNK3,IRAK4,RET,NEK4,MEK5,CSNK1G3,NEK2,MST3,NIM1,LKB1,SBK1,PIP5K2C,MKK7,DRAK1,PHKG2,PIM1,AURKA,MAPKAPK2,MEK2,CSNK2A1,MLK1,CDK9,TSSK1B,SgK110,MEK3,CDK7,CDC2L5,NEK6,STK16
644241,5.0,5.0,5.0,5.0,5.0,5.0,5.115662067519878,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.074463865876379,5.0,5.0,5.0,5.333333333333333,5.0,5.0,5.0,5.0,5.1219392467428895,5.0,,7.043554475303497,5.0,5.333333333333333,,5.0,5.0,7.486949268421633,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.354120738150794,5.478931680352943,5.0,5.0,5.0,5.009555211930782,5.0,5.5470637165324606,5.0,5.0,7.139436760956046,5.03596846576984,5.055830362431254,5.0,5.0,5.0,5.0,5.0,5.0,8.724663340736301,5.0,5.0,5.0,5.0,5.0,7.630140484365205,5.407282916538786,5.603409681217709,5.175101665559182,5.0,5.0,5.0,5.2100522037528405,5.0,,6.552381080566157,5.0,5.0,5.0,5.0,5.0,5.490930694395917,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.306939584650792,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.240415466349057,5.0,5.0,5.0,5.0,5.0,5.154257545669811,5.0,5.0,5.0,5.0,5.0,5.0,5.339242922320143,5.0,5.0,5.0,6.065761565050222,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.256517026207242,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.043272885084293,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.4366013066571615,5.0,5.0,5.0,5.0,5.0,5.0,5.257666483235621,5.0,5.168257338518597,5.0,5.573748799682392,5.0,5.0,5.0,5.0,5.0,5.0,5.24595562187217,5.0,5.091908043466404,5.0,5.225413794584656,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5329102,5.0,7.093840796528863,5.0,6.2179037696869015,5.0,7.078824557628727,5.0,6.536314818480487,5.0,6.050208300773001,5.4273244391780375,5.159379381312206,6.610924374808178,5.0,5.0,5.0,6.823986184216392,5.0,5.314373070210912,5.7017188504113845,5.301145900274256,8.016060224063674,7.130911501600561,6.323097237762673,5.079334164834046,8.536314818480486,7.84518491628705,5.0,7.5277586639249146,6.032750774378218,5.0,5.0,6.7945270706561125,5.859641293123213,7.0476423509939785,,6.199257067888977,7.741834231411668,5.163265134325252,,6.153666326363343,5.0,9.43088024056517,6.1386830387330935,5.0,5.0,7.449400400662251,6.471547574331764,5.180206956663287,5.026858484877124,5.601018176832866,5.340101252040128,6.65401744861632,6.147496020333332,7.471740230246526,8.631362637405676,5.6531365255381765,5.228086396926777,5.0,5.971547574331764,8.434609277830862,6.732986946971932,7.179759281514789,6.6354236519704966,5.413901931578724,5.934994025164047,5.9587868495696155,5.0,5.856249250141617,5.3494850021680085,6.0169866580448526,6.833150772180844,6.46479633912994,6.654901959985742,6.972693472721557,5.270983403751748,5.9750035715399274,5.0,7.2177064742580574,6.111214291189988,6.0280110799872455,7.261518298150791,5.000363733783537,5.0,,5.0,6.012300510783375,6.659379381312206,5.33889035263304,5.525696352358936,6.3453875066946415,5.0,5.9229675245531945,6.652259161754902,6.0088643834802165,6.126823868094197,5.0,5.683411496015897,7.0713337517843655,5.084866507998191,6.5607664611056515,5.0,5.709792724988742,7.366414135798492,7.719449308175474,5.0,6.595030524282238,5.081975535516071,5.0,5.575912880842542,5.0,6.17630851494269,5.5384157219675485,6.207585179798472,5.995699914119041,6.719462420139799,6.462226519303735,6.789198036565084,5.0,5.0,5.370371515030528,5.0,6.595476944639982,5.0,5.562180224004163,5.0,6.890314587166295,6.777665384530738,5.0,6.404554141538916,7.015758525723032,5.0,6.026773867493462,6.196625734181452,5.874059272723737,5.0,5.341885676953818,5.968325129040022,6.47575153235976,6.84253997200379,5.0,7.077364598625826,5.7528544027318755,5.520479303839453,7.081837942146624,6.323001914121367,5.170640485761272,7.698970004336019,5.0,5.0,6.986121397654723,5.087632252851783,5.0,,5.756324429228161,5.2167223345584715,7.327803863157444,5.0,6.029990922496167,5.0,5.160558792664633,5.0,5.0,5.0,6.629818655252877,7.2615504157728195,5.0,5.537860356969058,5.0,5.094772705973502,6.116756396880152,6.030631980900966,6.221848749616356,5.80962311459805,5.27642098432889,7.376750709602098,5.301281917927208,5.238937982757954,7.133321106037207,7.8193177867498305,5.0,7.231090452463362,6.586126797625876,5.906239639581767,6.688661015826672,6.014594194563742,6.931956951307951,6.453289157418883,5.9984905112506715,5.42540131519641,8.309894379144197,7.642426801621886,5.2065962527627985,6.0678968108769675,5.0,6.969747997828707,6.2714406630580655,5.526773867493462,5.0,5.100329725273209,5.511138197355577,5.7135641988997605,6.256501555784088,5.0,5.525978728644178,6.369368565603754
44259,5.0,8.740832797424975,7.5539526986547605,6.769551078621726,5.0,7.3938673832007025,6.788801456753695,8.091548080312169,5.141998328182599,7.0962984672163785,6.380611166950255,5.7529227029907775,7.272577569995746,6.516929133630483,5.906239639581767,6.502401854201411,8.001539786720832,5.74206307814416,6.7841253198446365,6.242936511137932,7.423111346627357,7.159386921408774,8.216211133957469,8.393296087805227,6.469686311195238,6.872363747448348,9.174749102560815,5.2970708003411815,7.953114109250634,6.418121238009023,8.1290304611354,5.833780770042198,9.03786035696906,7.907769510626829,6.446304604519218,,6.64860390919272,8.369287262613994,6.602277286379772,,7.445401258783318,6.100329725273209,7.684565363161865,6.576213670428944,5.142966301492803,5.3676190104291575,7.58214661593209,5.731090452463362,7.988168040901103,6.787124653378286,5.9317233407045284,6.030238527999733,7.9215740494649935,6.4586073148417755,7.828023272659923,8.703537623574977,8.673393743112326,6.268691411618885,5.38812227317138,7.960952924796794,7.776565089712582,8.968709007885918,9.337961710130257,6.261482810776565,7.637900724135557,8.580890389046187,8.117165722620491,7.1013662295846425,8.131569880645042,7.006838111474618,7.74200469551744,7.539013125443791,6.369964306007462,6.226358846018348,7.700878404173189,6.8873453591370675,7.811711521471744,5.83889035263304,8.04254185442943,7.310675291715395,6.501904412774136,7.310293214064293,5.337614985354094,6.437422085209736,,5.0869625986495866,7.938592937498088,8.239430958147981,7.422331981267469,7.859724654087737,7.3792358985107445,5.0,6.110517985236495,7.031743128760552,6.022878745280337,7.79683849594172,7.698970004336019,7.927946639278962,8.023603778477954,7.773525301650653,8.261593656748905,5.127159576541431,8.268257611800923,6.225866727414628,7.806305086830635,5.671663477057575,7.624787686546617,6.214921709029862,7.721848749616356,6.544121639274006,7.237720174072304,5.0,6.344716319873536,8.538264495682494,8.316788521387013,8.963461787050813,7.533256356075647,6.864079196731749,5.0,5.863883829400677,5.454767920001502,5.254319153082864,7.317109797461287,7.938074179516457,6.639848285242121,5.0,7.678309559796737,7.157577319177793,7.576213670428944,6.6164220669589096,7.855763599700109,6.689411859112482,7.129818655252877,6.87148714430964,7.840968332518619,6.664877073462938,6.329480684161237,8.916749078811076,8.198967184372115,7.46590706912692,5.633803120088516,7.8016222485517845,8.041141224520773,8.619036080789735,5.791430295136339,6.0745303247642015,7.455522003929214,6.904274492767553,5.900324243790452,5.7389083411906565,6.4726934727215575,6.285912540481862,6.385543297002656,,6.532708832113474,7.616347841273362,8.164877073462938,5.352532139096167,6.6822581265925445,5.0,6.299127458881467,5.0,5.777646558989322,5.0,8.352546544697404,9.15216034937815,6.2345512641330645,6.929118384862107,6.384837921315019,6.3445007909588655,8.137044183852478,7.4512294410811535,8.523845995168937,6.4550474442803,6.300076643643539,8.61531133696193,7.661196523639753,6.979996039713478,8.769551078621726,7.897018439065003,5.0,8.346251981043395,5.506023797104987,5.717371328289893,6.750664145091879,6.299299729609227,7.22939765465837,7.596910013008057,6.214559192431053,7.669995921354814,8.161196523639752,9.304861269818534,7.9257139558650005,7.8513409699366195,6.346894745916119,8.023872505636769,6.06584980703641,8.227965977824862,6.637862065199607,7.314281341297949,7.261439372640169,8.301029995663981,7.203634116803019,6.577450979992872,5.2753187046026255,7.144941317444093
216239,5.0,5.344705929556241,5.384775539310863,6.245802483433473,5.0,5.0,5.0,5.0,5.0,5.662437995416459,6.1529196271248265,5.0,5.0,5.0,5.372363747448347,5.0,5.061856252710012,5.659379381312206,5.586472109204816,5.164394329794448,5.0161516688346754,6.9678032853393495,6.4190161198084255,5.558211033479455,5.407055714380374,7.287069927461079,6.962591779677412,5.6531365255381765,5.4430283238465815,5.426935982160881,5.0,5.141998328182599,6.819136081991204,6.745933685705949,6.8186254482384925,,6.797823413747791,5.0,7.526030048427014,,5.3160701990763375,5.0,7.574889450849278,5.0,5.0,5.0,5.468873943791428,5.0,5.0,6.234511988380161,5.647899166410903,6.190732341533872,5.641998328182599,5.0,5.866602101429471,8.1473787182504,5.0,5.854247309371847,5.372363747448347,5.110924374808178,7.535787028698965,5.173393743112328,7.930060456799381,5.4332070678992475,5.0994850021680085,5.0,5.721848749616356,5.0,5.192387769655432,8.992529825103531,5.461167314934641,5.993264593010242,5.0,7.697347476929445,6.047102059816066,8.069531689649953,6.84518491628705,6.661196523639753,5.999134866972621,5.668211371897643,5.544191771458326,5.4417052668148935,5.803315986363888,5.0,,8.419465807264412,5.0,5.847754736113256,5.872363747448348,5.0,5.0,6.363004972324929,5.0,5.600329725273209,5.0,5.0,5.0,6.0864558645305085,5.9604093769761874,5.109596219862966,5.0,5.0,5.0,5.0,5.9430283238465815,5.479303657420886,5.0,5.0228787452803365,5.0,5.156061243716246,5.2966715314345,5.83889035263304,5.0,5.0,6.4300604567993815,5.0,5.540460953811962,5.0,5.0,5.548605718719518,5.0,5.0,5.578189107369196,5.610924374808178,5.400514997831991,5.0,5.159568040995602,5.0,5.0,8.445210726547806,7.4925298251035315,5.0,5.83889035263304,6.08557772446434,5.0,5.0,7.722198154250837,5.828788659588898,5.0,5.0,5.873088780645963,5.2134679910804405,5.066323334778673,5.0,5.629818655252877,5.2059771852360806,6.090614847582907,5.721848749616356,5.402468439096197,5.922331981267469,6.3979400086720375,5.0,6.494850021680094,,6.3184621504829455,5.0,5.770303756120383,5.2134679910804405,5.479303657420886,5.0,5.4430283238465815,5.0,7.697119750689943,5.0,5.911954370472159,5.397095073509194,5.0,5.0,5.0176452685714255,5.0,6.199513552156626,5.146571011465691,5.0,5.215899137966503,5.0,6.122062572163753,7.408058552246272,5.936974654890088,5.0,8.007632221382545,5.668621084159214,6.9260073396580975,5.3596789043174935,5.0,5.301145900274256,5.0,5.0,5.0,5.0,5.594772705973503,5.0,5.0,5.0,5.753607272093787,5.0,5.0,5.0,5.0,5.8606231995235865,5.0,5.0,5.328788659588897,7.595557066320094,7.01343607320015,5.1505149978319915,5.0
10127622,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.107471399255691,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.127159576541431,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.058565135369718,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.124121249149449,5.0,6.65817649142176,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
153999,5.0,5.003307066433439,5.118286003218532,5.426935982160881,5.0,5.793968541520862,5.368403214639263,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.138767284842727,5.0,5.104760447099316,5.0,5.0,5.1050541008457975,5.327428376969242,5.0,5.01410660347237,5.0,6.557319389984244,5.0,5.479303657420886,5.0,5.0,5.0,5.953289157418883,5.527815192267325,6.291386817783402,,5.0,5.879631818230788,5.0,,5.222355834755662,5.0,5.120371515030528,5.0,5.0,5.0,5.0,5.0,5.0,5.064536023880044,5.0,5.0,5.0,5.3979400086720375,5.120371515030528,6.5192627172105775,5.411954370472159,5.0,5.0,5.0,5.2046701164537685,5.163951071032141,5.77642098432889,5.0,5.0,5.874180889775894,5.0,5.0,5.0,5.0,5.175101665559182,5.0189301784845295,5.0,5.0,5.0,5.0,5.0,5.0,5.7168390372567295,5.0,5.039794000867204,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.706020623372476,5.0,5.0,5.0,5.0,6.166386562212268,6.139094692393726,5.0,6.211254100081388,7.522824076995442,5.253307066433439,5.0,5.0,5.0,5.0,5.0,5.445884347689704,5.0,8.022878745280337,5.0,5.553962203147359,5.0,5.658509199405736,5.168097127563796,5.234260541478872,5.656698414964263,5.1259059864969005,5.0,5.0,5.0,5.0,5.0,5.8242246377493405,5.0,5.696819961395539,5.0,5.729573182475662,5.0,5.0,5.4604093769761874,5.0,5.0,5.0,5.0,5.0,5.426935982160881,5.117130270739437,5.273685987812887,5.915050672307753,5.545757490560676,5.0,5.075257498915995,5.061088590736736,5.577450979992872,5.0,5.0,6.029874373465798,5.215899137966503,5.0376287494579985,5.0,5.0,5.0,5.0,,5.1994463443344205,5.593543321678571,5.447415286000334,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.426935982160881,5.4347437915019015,5.0,5.0,5.9164871399132775,5.3190587852838584,5.0,5.057797914370776,5.633803120088516,5.0,5.0,5.0,5.037185412820231,5.0,5.0,5.0,5.0,5.479303657420886,5.0,5.0,5.026858484877124,5.0,5.114573994178928,5.0,5.270230476905981,5.240075407403261,5.559593203859603,5.202137246383777,6.496177355829048,5.0,5.0,5.0,5.043481299324793,5.426935982160881,5.4430283238465815,5.0,5.0,5.0,5.677288865325455,5.0,5.0,5.301029995663981
156422,5.0,5.0,5.0,5.33889035263304,5.0,5.0,5.177971792346535,5.0,5.0,5.2134679910804405,5.0,5.0,5.0,5.4604093769761874,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.251343483729018,6.093861620172317,5.0,5.0533299900327195,6.8872161432802645,5.3494850021680085,5.0,5.0,5.0,5.0,5.0,6.080575454631371,5.0,5.0,,5.263779361753487,5.0,6.568685483410009,,5.0,5.0,6.9878856646158605,5.074370825640463,5.0,5.0,5.0,5.0,5.0,5.1164950007226695,5.205103778987311,5.546157163540165,5.502182402701224,5.0,5.107949568983251,6.883723434814205,5.0,5.182373275752028,5.0,5.0,6.855083498329723,5.0,6.799299729609227,5.0,5.0,5.0,5.0,5.0,5.0,7.906380690084262,5.0,5.339136830878453,5.0,5.8606231995235865,5.240743030061057,6.7200466874819424,6.490441854776464,5.0,5.0,5.0,5.036653154442041,5.346804035820067,5.799780032258576,5.0,,5.532750774378216,5.0,5.819136081991204,5.0,5.0,5.0,5.094772705973502,5.0,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.525304996677544,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.747425010840048,5.947244907615013,5.0,5.0,5.2383084457946305,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.261439372640169,5.0,5.0,5.402604121139039,5.0,5.0,5.5,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.839136830878452,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.225866727414628,5.0,5.0,5.0,5.0,5.0,5.3953915299799196,6.08423063306266,5.0,6.933452845951606,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.254319153082864,5.479303657420886,5.0,5.0
151194,5.0,5.0,5.0,5.055517327849831,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.84454718531193,5.0,5.0,5.0,8.017728766960431,5.721246399047171,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.037236374744833,5.0,5.0,,5.0,5.0,7.309894379144198,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.338350712095145,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.568636235841013,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.356547323513811,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.077473594786048,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.585348113584487,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.029796601929801,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
9809715,5.0,7.384520222125715,5.431798275933005,5.0,5.0,6.447074662807427,5.0,5.698970004336019,5.0,7.166273523555023,5.284318117920506,5.0,5.337242168318426,5.0,5.0,5.0,5.586638981061337,5.0,6.5015777518707285,7.41369853439507,5.284623988107254,7.7799391984060975,7.061939672986604,5.0,5.0,7.200659450546419,8.2839966563652,5.0,5.0,7.67778070526608,5.0,5.0,7.292429823902062,5.0,6.019670210229474,,6.531664264016925,7.929118384862107,5.755724641749778,,5.699241778246321,5.0,7.809894379144198,6.6777807052660805,5.0,5.0,6.444368743170467,7.251811972993798,5.795880017344076,5.0,6.037836424942506,5.171145357733384,7.091514981121351,8.075720713938116,7.995699914119041,8.685996563018216,5.853871964321763,5.6206324049129055,5.0,5.698970004336019,7.700489421461425,7.275724130399211,7.0604807473813835,6.853871964321763,5.896587061984075,6.130768280269023,5.0,5.0,6.363383582978478,7.920818753952375,6.113617444995764,6.473268697537272,5.309803919971486,6.229147988357856,7.657577319177793,7.376750709602098,7.494850021680094,5.0,6.996766978875384,6.52874794691596,6.624452127793738,6.178273661756906,5.100343331887994,5.0,,5.0,5.880055801951765,8.346787486224656,6.356547323513813,5.0,5.0,5.0,5.633803120088516,5.0,5.0,5.3979400086720375,5.0,5.173393743112328,6.721246399047171,5.086545770168585,6.796729909783022,5.0,5.469645130991167,5.0,6.920818753952375,5.0,7.5987715097060295,5.0,5.0,5.6858205635056285,5.7134679910804405,6.619788758288393,6.154901959985742,5.110924374808178,6.6777807052660805,7.236830361305077,8.309803919971486,6.113509274827518,5.0,5.0,5.268801001050521,5.0,6.729857807616433,5.0,5.384775539310863,5.0,7.747696614679023,8.443697499232712,5.455931955649724,5.920818753952375,8.387216143280265,5.0,5.0,6.309393133640006,5.275724130399211,5.0,5.4430283238465815,6.118435811600431,6.563456610858033,7.638272163982407,5.0,7.06810073065975,5.719755588462732,5.552841968657781,5.0,6.085026652029183,5.7346368802282015,5.0,5.2134679910804405,5.0,6.091514981121351,5.3808590147986735,5.0,,6.465925944535698,7.443697499232713,5.9586073148417755,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.732986946971932,5.0,6.508638306165728,6.72372672602217,5.0,7.721246399047171,5.823917319854942,6.5376020021010435,5.431798275933005,5.0,7.221848749616356,5.0,5.6923239215968575,6.091514981121351,7.7645049356785,5.0,8.744727494896694,5.36061840166794,5.0,6.422803744937752,5.0,7.744727494896692,6.9586073148417755,6.384775539310862,5.143932758644334,6.9586073148417755,6.719449308175474,5.0,6.03266570288309,5.0,7.68837535480105,5.587774364981693,6.657577319177793,5.0,5.214670164989234,5.698970004336019,5.6777807052660805,6.522878745280337,5.0,5.0,7.744727494896692
3038525,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.049044185477647,5.0,5.0,,5.0,5.0,5.0656190208939735,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.069202770167249,5.0,5.0,5.0,5.0,5.0,5.0,5.081975535516071,5.0,5.0,5.065002961336576,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.9586073148417755,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.9472683748211335,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.496893615426148,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
