cids,>O00141,>O00311,>O00329,>O00418,>O00444,>O14757,>O14920,>O14965,>O15075,>O15111,>O15264,>O15530,>O43293,>O43741,>O43781,>O60285,>O60674,>O75116,>O75582,>O75676,>O94806,>O95819,>O96013,>O96017,>P00519,>P00533,>P04049,>P04626,>P04629,>P05129,>P05771,>P06213,>P06239,>P06241,>P06493,>P07332,>P07333,>P07947,>P07948,>P07949,>P08069,>P08581,>P08631,>P08922,>P09619,>P09769,>P10721,>P11309,>P11362,>P11802,>P12931,>P15056,>P15735,>P16234,>P16591,>P17252,>P17612,>P17948,>P19784,>P21802,>P22455,>P22607,>P22612,>P22694,>P23443,>P23458,>P24723,>P24941,>P27361,>P27448,>P28482,>P29317,>P29323,>P29376,>P29597,>P30291,>P30530,>P31749,>P31751,>P34947,>P35916,>P35968,>P36507,>P36888,>P41240,>P41279,>P41743,>P42336,>P42338,>P42345,>P42679,>P42684,>P42685,>P43403,>P43405,>P45983,>P45984,>P48729,>P48730,>P48736,>P49137,>P49336,>P49674,>P49759,>P49760,>P49840,>P49841,>P50613,>P50750,>P51451,>P51617,>P51812,>P51813,>P51817,>P51955,>P51957,>P52333,>P52564,>P53350,>P53667,>P53778,>P53779,>P54619,>P54646,>P54760,>P67870,>P68400,>P78368,>P78527,>P80192,>Q00534,>Q00535,>Q02156,>Q02750,>Q02763,>Q02779,>Q04759,>Q04771,>Q04912,>Q05397,>Q05513,>Q05655,>Q06187,>Q06418,>Q07912,>Q08881,>Q12851,>Q12866,>Q13131,>Q13153,>Q13177,>Q13188,>Q13237,>Q13464,>Q13554,>Q13555,>Q13557,>Q13627,>Q13882,>Q13976,>Q14012,>Q14164,>Q14289,>Q14680,>Q15078,>Q15118,>Q15139,>Q15303,>Q15418,>Q15759,>Q16288,>Q16512,>Q16513,>Q16539,>Q16566,>Q16584,>Q16620,>Q16644,>Q5S007,>Q5VT25,>Q7KZI7,>Q7L7X3,>Q86V86,>Q8IU85,>Q8IW41,>Q8N4C8,>Q8NE63,>Q8TDC3,>Q96GD4,>Q96KB5,>Q96L34,>Q96PF2,>Q96RG2,>Q96RR4,>Q96SB4,>Q99683,>Q9BUB5,>Q9BWU1,>Q9BXA7,>Q9BZL6,>Q9H0K1,>Q9H2G2,>Q9H2X6,>Q9H3Y6,>Q9H4B4,>Q9HAZ1,>Q9HBH9,>Q9HBY8,>Q9HC98,>Q9HCP0,>Q9NR20,>Q9NWZ3,>Q9NYL2,>Q9P1W9,>Q9P289,>Q9UBE8,>Q9UBF8,>Q9UBS0,>Q9UEE5,>Q9UGI9,>Q9UGJ0,>Q9UHD2,>Q9UM73,>Q9UQM7,>Q9Y243,>Q9Y463,>Q9Y478,>Q9Y4K4,>Q9Y6M4
CHEMBL1087421,11.1000000000,nan,nan,nan,nan,nan,11.1000000000,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,11.1000000000,nan,nan,nan,nan,11.1000000000,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,10.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.1000000000,12.1999990350,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,12.9999929350,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.2000001280,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CHEMBL1088633,11.1000000000,nan,nan,nan,nan,nan,11.1000000000,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,11.1000000000,nan,nan,nan,nan,11.1000000000,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,10.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.1000000000,11.9999984170,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,12.8500032100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.2000001280,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CHEMBL1090360,12.1000000000,11.9999984170,nan,nan,nan,12.1161001800,nan,13.3644545490,11.1000000000,nan,12.1161001800,11.5000001860,12.1928250320,nan,nan,nan,12.1752868850,12.1161001800,11.8000005040,nan,11.5999996790,13.3999889380,12.1252476400,12.1752868850,nan,13.9865822480,nan,13.8162697240,12.1489977100,12.1161001800,nan,13.4018065800,13.5642227040,12.7020599910,12.1161001800,11.8000005040,12.2139433520,nan,14.1562888700,13.8000571000,13.6446974730,nan,nan,11.8000005040,nan,nan,12.1928250320,12.1128372250,12.4999969130,nan,13.0020118500,nan,11.4000002020,nan,11.9000008750,nan,11.2000001280,nan,nan,nan,nan,nan,nan,nan,11.3000002370,nan,12.1000000000,11.2000001280,nan,11.3000002370,12.1161001800,12.8560807310,nan,nan,12.2139433520,nan,nan,nan,12.1161001800,nan,13.4298096000,13.7667559700,nan,nan,nan,nan,11.4000002020,nan,nan,nan,11.8000005040,nan,13.6000381340,nan,12.2999981720,12.6999976540,13.6999803650,11.3000002370,12.3616951180,nan,11.2000001280,nan,nan,nan,11.2000001280,12.1315525150,12.2391473400,nan,nan,13.0595486230,11.2000001280,11.2000001280,nan,11.9000008750,12.7206027020,11.3000002370,12.1752868850,nan,12.1161001800,nan,12.1201734440,nan,nan,nan,nan,nan,11.3000002370,11.2000001280,nan,nan,nan,12.1128372250,nan,nan,nan,nan,nan,nan,nan,12.3999976030,11.2000001280,12.1161001800,nan,11.8000005040,nan,12.1752868850,13.2000154370,nan,11.9000008750,12.4947693280,nan,12.4040438310,11.9000008750,12.1128372250,11.2000001280,11.3000002370,11.3000002370,12.1201734440,nan,11.8000005040,11.2000001280,nan,nan,11.9000008750,nan,nan,nan,14.1132550310,nan,nan,11.9999984170,nan,11.2000001280,nan,nan,nan,12.1252476400,12.1128372250,nan,12.1128372250,11.2000001280,12.6999976540,11.2000001280,nan,11.9000008750,11.9000008750,12.5999969320,11.1000000000,12.9751067750,11.1000000000,nan,11.9000008750,nan,nan,11.5000001860,nan,nan,nan,11.9000008750,12.1161001800,nan,13.2000154370,11.5999996790,12.1999990350,12.1161001800,11.1000000000,nan,11.1000000000,nan,11.3000002370,11.2000001280,11.1000000000,12.7999917970,12.1752868850,nan,nan,nan,nan,11.5000001860,nan,nan,nan,11.9999984170,nan,12.1128372250,nan,nan,14.4001622740,11.3000002370
CHEMBL1688215,11.1000000000,nan,nan,nan,nan,11.1000000000,nan,12.5044661530,nan,13.1000000000,nan,12.5158975950,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.2979107420,nan,nan,12.6528419690,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,12.1757207140,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,11.4979400090,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.1043648050,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.9000008750,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.5792102170,nan,nan,nan,nan,nan,nan,11.3448877340,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CHEMBL1765781,12.1000000000,nan,nan,nan,nan,12.1000000000,nan,12.1000000000,nan,12.1000000000,nan,nan,12.1000000000,nan,nan,nan,12.5317982760,12.1000000000,12.1000000000,nan,nan,nan,nan,nan,12.1000000000,12.1000000000,11.7989700040,nan,nan,nan,12.1000000000,12.1000000000,12.4098039200,12.1000000000,12.1000000000,12.1000000000,nan,12.1000000000,12.1000000000,12.1000000000,12.1000000000,nan,12.1000000000,12.1000000000,nan,nan,12.7989700040,12.1000000000,nan,nan,13.0208187540,nan,nan,12.1000000000,12.1000000000,nan,nan,nan,nan,nan,12.1000000000,nan,nan,nan,12.1000000000,nan,nan,nan,11.7989700040,nan,11.7989700040,nan,12.1000000000,nan,nan,nan,nan,12.1000000000,nan,nan,nan,12.4665315440,nan,13.7989700040,12.1000000000,12.1000000000,nan,nan,nan,nan,nan,nan,nan,11.7989700040,nan,12.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.1000000000,nan,nan,nan,nan,nan,12.1000000000,nan,nan,nan,12.5559319560,12.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.1000000000,12.1000000000,nan,11.7989700040,nan,12.1000000000,12.1000000000,nan,nan,12.1000000000,nan,nan,14.2549019600,nan,nan,nan,nan,nan,12.1000000000,nan,nan,nan,nan,nan,12.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.1000000000,12.1000000000,12.1000000000,nan,nan,12.1000000000,12.1000000000,12.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,12.1000000000,12.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.1000000000,nan,nan,nan,nan,nan,nan,12.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.1000000000,nan,nan,nan,nan,nan,nan,nan
CHEMBL1929238,10.8212463990,nan,nan,nan,nan,10.6228787450,10.6228787450,10.6228787450,nan,nan,10.6228787450,nan,10.5948500220,nan,nan,10.6228787450,10.6228787450,10.6228787450,10.6228787450,10.6228787450,nan,nan,10.6228787450,10.6228787450,10.6228787450,10.6228787450,nan,nan,10.6376020020,10.6228787450,10.6088643830,10.6228787450,10.6228787450,10.6228787450,10.6228787450,10.6228787450,10.6228787450,10.6228787450,10.4665315440,11.5317982760,10.6228787450,10.6228787450,10.6228787450,10.6228787450,10.6228787450,10.6228787450,nan,10.6228787450,10.6228787450,nan,10.6228787450,nan,10.6228787450,10.6228787450,10.6228787450,10.6228787450,nan,10.6228787450,nan,10.6228787450,10.6228787450,10.6228787450,nan,nan,10.7989700040,nan,10.6228787450,10.6228787450,10.6228787450,nan,10.6228787450,10.8958800170,11.2426675040,nan,nan,nan,10.6228787450,10.6228787450,10.6228787450,10.6228787450,10.6228787450,10.6228787450,nan,10.6228787450,10.6228787450,nan,nan,nan,nan,nan,nan,10.6228787450,nan,10.6228787450,10.6228787450,10.6228787450,11.1087739240,10.6228787450,nan,nan,10.6228787450,nan,nan,nan,nan,nan,10.6228787450,nan,10.6228787450,10.6228787450,10.6228787450,nan,10.6228787450,10.6228787450,nan,nan,10.6228787450,nan,10.6228787450,nan,10.6228787450,10.6228787450,nan,nan,11.1604807470,nan,10.6228787450,nan,nan,10.6228787450,nan,10.6228787450,nan,nan,10.4010299960,nan,10.6228787450,nan,10.6228787450,10.6228787450,nan,10.9239087410,10.6228787450,nan,nan,nan,nan,nan,nan,nan,10.6228787450,10.6228787450,nan,10.6228787450,11.6686362360,nan,11.0208187540,nan,10.6228787450,10.6228787450,nan,nan,10.6228787450,nan,10.6228787450,10.6228787450,10.6228787450,10.6228787450,10.6228787450,13.4010299960,nan,nan,nan,13.7575773190,nan,nan,11.1604807470,10.6228787450,nan,nan,10.6228787450,nan,nan,nan,10.6228787450,10.6228787450,nan,10.6228787450,nan,nan,nan,10.6228787450,10.6228787450,nan,nan,10.6228787450,nan,nan,nan,nan,nan,nan,nan,nan,10.6228787450,nan,nan,nan,nan,nan,nan,10.6228787450,nan,10.6228787450,nan,10.6228787450,nan,nan,10.6228787450,nan,nan,10.6228787450,10.6228787450,nan,10.6228787450,nan,nan,nan,nan
CHEMBL1933552,10.6228787450,nan,nan,nan,nan,10.6228787450,10.6228787450,10.6228787450,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.6228787450,10.6228787450,10.6228787450,10.6228787450,nan,nan,10.6228787450,nan,nan,10.6228787450,10.6228787450,nan,nan,nan,nan,nan,nan,nan,nan,10.6228787450,nan,nan,nan,nan,nan,nan,10.7439741430,nan,10.6228787450,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.6228787450,nan,nan,10.6228787450,nan,nan,nan,nan,nan,10.7234230430,10.6228787450,nan,nan,nan,10.7595558850,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.8619538970,nan,10.6228787450,nan,nan,nan,nan,nan,10.6228787450,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.6228787450,nan,10.6228787450,nan,nan,nan,nan,12.1132282660,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.6228787450,nan,nan,nan,10.6228787450,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.6228787450,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CHEMBL202930,10.4010299960,nan,nan,nan,nan,14.2828276600,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.7629402740,nan,10.4010299960,nan,nan,nan,10.4010299960,nan,nan,nan,nan,10.4010299960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.4010299960,nan,nan,nan,nan,nan,nan,nan,10.4010299960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.4010299960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.4010299960,10.4010299960,nan,nan,nan,nan,nan,nan,nan,10.4010299960,nan,nan,nan,nan,nan,nan,10.4010299960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CHEMBL204420,11.1000000000,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,11.1000000000,nan,nan,11.1000000000,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,13.4098943790,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,11.1000000000,11.1000000000,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,11.1000000000,11.1000000000,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,11.1000000000,nan,nan,nan,nan,nan,11.1000000000,nan,nan
CHEMBL206783,11.1000000000,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,11.1000000000,nan,nan,11.1000000000,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,13.7109243750,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,11.1000000000,11.1000000000,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,11.1000000000,11.1000000000,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,nan,nan,nan,11.1000000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.1000000000,11.1000000000,nan,nan,nan,nan,nan,11.1000000000,nan,nan
